NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DAUND22C,Numeric,8,District 2022 Underreported Students: Count
DAUND22D,Numeric,8,District 2022 Underreported Students: Gr. 7-12 Total
DAUND22R,Numeric,8,District 2022 Underreported Students: Rate
DISTNAME,Character,75,District Name
DPCTENGA,Numeric,8,District 2023 Class Size: Sec English - Avg Size
DPCTENGC,Numeric,8,District 2023 Class Size: Sec English - # Classes
DPCTENGS,Numeric,8,District 2023 Class Size: Sec English - # Students
DPCTFLAA,Numeric,8,District 2023 Class Size: Sec For Lng - Avg Size
DPCTFLAC,Numeric,8,District 2023 Class Size: Sec For Lng - # Classes
DPCTFLAS,Numeric,8,District 2023 Class Size: Sec For Lng - # Students
DPCTG01A,Numeric,8,District 2023 Class Size: Grade 1     - Avg Size
DPCTG01C,Numeric,8,District 2023 Class Size: Grade 1     - # Classes
DPCTG01S,Numeric,8,District 2023 Class Size: Grade 1     - # Students
DPCTG02A,Numeric,8,District 2023 Class Size: Grade 2     - Avg Size
DPCTG02C,Numeric,8,District 2023 Class Size: Grade 2     - # Classes
DPCTG02S,Numeric,8,District 2023 Class Size: Grade 2     - # Students
DPCTG03A,Numeric,8,District 2023 Class Size: Grade 3     - Avg Size
DPCTG03C,Numeric,8,District 2023 Class Size: Grade 3     - # Classes
DPCTG03S,Numeric,8,District 2023 Class Size: Grade 3     - # Students
DPCTG04A,Numeric,8,District 2023 Class Size: Grade 4     - Avg Size
DPCTG04C,Numeric,8,District 2023 Class Size: Grade 4     - # Classes
DPCTG04S,Numeric,8,District 2023 Class Size: Grade 4     - # Students
DPCTG05A,Numeric,8,District 2023 Class Size: Grade 5     - Avg Size
DPCTG05C,Numeric,8,District 2023 Class Size: Grade 5     - # Classes
DPCTG05S,Numeric,8,District 2023 Class Size: Grade 5     - # Students
DPCTG06A,Numeric,8,District 2023 Class Size: Grade 6     - Avg Size
DPCTG06C,Numeric,8,District 2023 Class Size: Grade 6     - # Classes
DPCTG06S,Numeric,8,District 2023 Class Size: Grade 6     - # Students
DPCTGKGA,Numeric,8,District 2023 Class Size: Kindergarten- Avg Size
